"","id12411","KREISE","GES","ALTX76","STAG","BEVSTD_val","BEVSTD_qual","BEVSTD_lock","BEVSTD_err","Alter.von","Wohnbevölkerung..männlich","Wohnbevölkerung..weiblich","Wohnbevölkerung"
"1","D","08421","GESM","ALT000","31.12.2018",706,"e",NA,0,0,706,635,1341
"2","D","08421","GESM","ALT001","31.12.2018",647,"e",NA,0,1,647,601,1248
"3","D","08421","GESM","ALT002","31.12.2018",647,"e",NA,0,2,647,575,1222
"4","D","08421","GESM","ALT003","31.12.2018",587,"e",NA,0,3,587,588,1175
"5","D","08421","GESM","ALT004","31.12.2018",617,"e",NA,0,4,617,541,1158
"6","D","08421","GESM","ALT005","31.12.2018",594,"e",NA,0,5,594,557,1151
"7","D","08421","GESM","ALT006","31.12.2018",583,"e",NA,0,6,583,543,1126
"8","D","08421","GESM","ALT007","31.12.2018",594,"e",NA,0,7,594,571,1165
"9","D","08421","GESM","ALT008","31.12.2018",593,"e",NA,0,8,593,520,1113
"10","D","08421","GESM","ALT009","31.12.2018",543,"e",NA,0,9,543,534,1077
"11","D","08421","GESM","ALT010","31.12.2018",587,"e",NA,0,10,587,569,1156
"12","D","08421","GESM","ALT011","31.12.2018",533,"e",NA,0,11,533,577,1110
"13","D","08421","GESM","ALT012","31.12.2018",549,"e",NA,0,12,549,568,1117
"14","D","08421","GESM","ALT013","31.12.2018",532,"e",NA,0,13,532,533,1065
"15","D","08421","GESM","ALT014","31.12.2018",579,"e",NA,0,14,579,486,1065
"16","D","08421","GESM","ALT015","31.12.2018",569,"e",NA,0,15,569,513,1082
"17","D","08421","GESM","ALT016","31.12.2018",594,"e",NA,0,16,594,517,1111
"18","D","08421","GESM","ALT017","31.12.2018",556,"e",NA,0,17,556,550,1106
"19","D","08421","GESM","ALT018","31.12.2018",656,"e",NA,0,18,656,611,1267
"20","D","08421","GESM","ALT019","31.12.2018",847,"e",NA,0,19,847,782,1629
"21","D","08421","GESM","ALT020","31.12.2018",913,"e",NA,0,20,913,942,1855
"22","D","08421","GESM","ALT021","31.12.2018",1009,"e",NA,0,21,1009,927,1936
"23","D","08421","GESM","ALT022","31.12.2018",1046,"e",NA,0,22,1046,1061,2107
"24","D","08421","GESM","ALT023","31.12.2018",1052,"e",NA,0,23,1052,1031,2083
"25","D","08421","GESM","ALT024","31.12.2018",1092,"e",NA,0,24,1092,1001,2093
"26","D","08421","GESM","ALT025","31.12.2018",1147,"e",NA,0,25,1147,1046,2193
"27","D","08421","GESM","ALT026","31.12.2018",1201,"e",NA,0,26,1201,1014,2215
"28","D","08421","GESM","ALT027","31.12.2018",1168,"e",NA,0,27,1168,1029,2197
"29","D","08421","GESM","ALT028","31.12.2018",1246,"e",NA,0,28,1246,1096,2342
"30","D","08421","GESM","ALT029","31.12.2018",1200,"e",NA,0,29,1200,1073,2273
"31","D","08421","GESM","ALT030","31.12.2018",1116,"e",NA,0,30,1116,1009,2125
"32","D","08421","GESM","ALT031","31.12.2018",1124,"e",NA,0,31,1124,1007,2131
"33","D","08421","GESM","ALT032","31.12.2018",1100,"e",NA,0,32,1100,956,2056
"34","D","08421","GESM","ALT033","31.12.2018",1005,"e",NA,0,33,1005,910,1915
"35","D","08421","GESM","ALT034","31.12.2018",995,"e",NA,0,34,995,864,1859
"36","D","08421","GESM","ALT035","31.12.2018",893,"e",NA,0,35,893,886,1779
"37","D","08421","GESM","ALT036","31.12.2018",895,"e",NA,0,36,895,895,1790
"38","D","08421","GESM","ALT037","31.12.2018",924,"e",NA,0,37,924,903,1827
"39","D","08421","GESM","ALT038","31.12.2018",873,"e",NA,0,38,873,807,1680
"40","D","08421","GESM","ALT039","31.12.2018",819,"e",NA,0,39,819,799,1618
"41","D","08421","GESM","ALT040","31.12.2018",843,"e",NA,0,40,843,797,1640
"42","D","08421","GESM","ALT041","31.12.2018",768,"e",NA,0,41,768,733,1501
"43","D","08421","GESM","ALT042","31.12.2018",801,"e",NA,0,42,801,772,1573
"44","D","08421","GESM","ALT043","31.12.2018",770,"e",NA,0,43,770,752,1522
"45","D","08421","GESM","ALT044","31.12.2018",780,"e",NA,0,44,780,757,1537
"46","D","08421","GESM","ALT045","31.12.2018",760,"e",NA,0,45,760,728,1488
"47","D","08421","GESM","ALT046","31.12.2018",797,"e",NA,0,46,797,749,1546
"48","D","08421","GESM","ALT047","31.12.2018",846,"e",NA,0,47,846,794,1640
"49","D","08421","GESM","ALT048","31.12.2018",890,"e",NA,0,48,890,765,1655
"50","D","08421","GESM","ALT049","31.12.2018",896,"e",NA,0,49,896,865,1761
"51","D","08421","GESM","ALT050","31.12.2018",918,"e",NA,0,50,918,949,1867
"52","D","08421","GESM","ALT051","31.12.2018",883,"e",NA,0,51,883,835,1718
"53","D","08421","GESM","ALT052","31.12.2018",970,"e",NA,0,52,970,842,1812
"54","D","08421","GESM","ALT053","31.12.2018",846,"e",NA,0,53,846,908,1754
"55","D","08421","GESM","ALT054","31.12.2018",858,"e",NA,0,54,858,826,1684
"56","D","08421","GESM","ALT055","31.12.2018",898,"e",NA,0,55,898,812,1710
"57","D","08421","GESM","ALT056","31.12.2018",875,"e",NA,0,56,875,788,1663
"58","D","08421","GESM","ALT057","31.12.2018",799,"e",NA,0,57,799,800,1599
"59","D","08421","GESM","ALT058","31.12.2018",755,"e",NA,0,58,755,826,1581
"60","D","08421","GESM","ALT059","31.12.2018",686,"e",NA,0,59,686,779,1465
"61","D","08421","GESM","ALT060","31.12.2018",677,"e",NA,0,60,677,756,1433
"62","D","08421","GESM","ALT061","31.12.2018",646,"e",NA,0,61,646,762,1408
"63","D","08421","GESM","ALT062","31.12.2018",642,"e",NA,0,62,642,755,1397
"64","D","08421","GESM","ALT063","31.12.2018",606,"e",NA,0,63,606,737,1343
"65","D","08421","GESM","ALT064","31.12.2018",575,"e",NA,0,64,575,704,1279
"66","D","08421","GESM","ALT065","31.12.2018",551,"e",NA,0,65,551,671,1222
"67","D","08421","GESM","ALT066","31.12.2018",582,"e",NA,0,66,582,662,1244
"68","D","08421","GESM","ALT067","31.12.2018",501,"e",NA,0,67,501,581,1082
"69","D","08421","GESM","ALT068","31.12.2018",584,"e",NA,0,68,584,642,1226
"70","D","08421","GESM","ALT069","31.12.2018",536,"e",NA,0,69,536,667,1203
"71","D","08421","GESM","ALT070","31.12.2018",480,"e",NA,0,70,480,609,1089
"72","D","08421","GESM","ALT071","31.12.2018",458,"e",NA,0,71,458,555,1013
"73","D","08421","GESM","ALT072","31.12.2018",453,"e",NA,0,72,453,530,983
"74","D","08421","GESM","ALT073","31.12.2018",348,"e",NA,0,73,348,417,765
"75","D","08421","GESM","ALT074","31.12.2018",433,"e",NA,0,74,433,588,1021
"761","D","08421","GESM","ALT075B80","31.12.2018",2389,"e",NA,0,79,478,581,1059
