"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Liste"
NA,1976,NA,"OB"
NA,1992,NA,"GRÜNE"
NA,1950,NA,"GRÜNE"
NA,2000,NA,"GRÜNE"
NA,1978,NA,"GRÜNE"
NA,1956,NA,"GRÜNE"
NA,1990,NA,"GRÜNE"
NA,1960,NA,"GRÜNE"
NA,1966,NA,"CDU"
NA,1964,NA,"CDU"
NA,1958,NA,"CDU"
NA,1944,NA,"CDU"
NA,1953,NA,"CDU"
NA,1980,NA,"CDU"
NA,1958,NA,"CDU"
NA,1969,NA,"SPD"
NA,1949,NA,"SPD"
NA,1963,NA,"SPD"
NA,1967,NA,"SPD"
NA,1991,NA,"SPD"
NA,1966,NA,"SPD"
NA,1959,NA,"FWG"
NA,1997,NA,"FWG"
NA,1961,NA,"UWS"
NA,1948,NA,"UWS"
NA,1992,NA,"UWS"
NA,1954,NA,"FDP"
NA,1980,NA,"FDP"
NA,1961,NA,"WWG"
NA,1953,NA,"WWG"
NA,1951,NA,"UVL"
NA,1972,NA,"UVL"
NA,1955,NA,"UfA"
NA,1958,NA,"DIE LINKE"
NA,1982,NA,"PIRATEN"
NA,1998,NA,"BLO"
NA,1969,NA,"AfD"
NA,1990,NA,"AfD"
NA,1985,NA,"Tierschutzpartei"
NA,1977,NA,"KlimalisteBW"
NA,2008,NA,"Junge Liste"
