"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"Geschäftsführende Vorstandsvorsitzende",1992,"Mitte","GRÜNE"
"Hochschulprofessor a.D.",1950,"Mitte","GRÜNE"
"Studentin",2000,"Oststadt","GRÜNE"
"Kulturmanagerin",1978,"Jungingen","GRÜNE"
"Ernährungsmedizinische Beraterin",1956,"Weststadt","GRÜNE"
"Personal- und Organisationsentwicklerin",1990,"","GRÜNE"
"Architektin",1960,"Söflingen","GRÜNE"
"Pfarrer",1959,"Weststadt","GRÜNE"
"Erzieherin i.R.",1956,"Oststadt","GRÜNE"
"Hochschulkanzler",1982,"Lehr","GRÜNE"
"Schülerin",2006,"Eselsberg","GRÜNE"
"Nanotechnologe",1988,"Weststadt","GRÜNE"
"selbst. Eventmanagerin",1976,"Böfingen","GRÜNE"
"Angestellter",2005,"Söflingen","GRÜNE"
"Dozentin",1953,"Böfingen","GRÜNE"
"Gewerkschaftssekretär",1972,"Weststadt","GRÜNE"
"Psychologin",1985,"Oststadt","GRÜNE"
"Psychotherapeut und Elektroniker",1958,"Söflingen","GRÜNE"
"Moderatorin",1984,"Mitte","GRÜNE"
"Musiker",1957,"Oststadt","GRÜNE"
"Dipl.-Informatikerin",1961,"Eselsberg","GRÜNE"
"Student",2003,"Weststadt","GRÜNE"
"Chemikerin",1974,"Lehr","GRÜNE"
"Freiwilligendienstleistender",2004,"Böfingen","GRÜNE"
"selbst. Friseurmeisterin",1998,"Mitte","GRÜNE"
"Pfarrer",1976,"Wiblingen","GRÜNE"
"Schülerin",2006,"Eselsberg","GRÜNE"
"Neurowissenschaftler",1962,"Eselsberg","GRÜNE"
"Lehrerin",1967,"Wiblingen","GRÜNE"
"Beraterin Sustainable Finance",1999,"Weststadt","GRÜNE"
"selbst. Webentwicklerin",1983,"Eselsberg","GRÜNE"
"Dipl.-Geologe",1953,"Weststadt","GRÜNE"
"Psychologische Psychotherapeutin",1991,"Oststadt","GRÜNE"
"Fraktionsgeschäftsführer",1991,"Mitte","GRÜNE"
"Ärztin",1978,"Wiblingen","GRÜNE"
"Geschäftsführer",1963,"Weststadt","GRÜNE"
"Kulturwissenschaftlerin (MA)",1960,"Söflingen","GRÜNE"
"Kinderarzt",1952,"Mitte","GRÜNE"
"Heilerzieherin i. R.",1957,"Weststadt","GRÜNE"
"Kinderarzt i.R.",1940,"Mitte","GRÜNE"
"Rechtsanwalt",1966,"Söflingen","CDU"
"Dipl.-Informatikerin",1964,"Böfingen","CDU"
"Landwirtschaftsmeister",1958,"Gögglingen","CDU"
"Schulleiterin i.R.",1953,"Weststadt","CDU"
"Generalarzt a.D.",1958,"Lehr","CDU"
"Unternehmer",1980,"Lehr","CDU"
"Dipl.-Ökonom",1960,"Mitte","CDU"
"Unternehmer",1985,"Weststadt","CDU"
"Mitarbeiterin im Freiwilligen Sozialen Jahr",2003,"Mähringen","CDU"
"Konstrukteur i.R.",1948,"Eselsberg","CDU"
"Techniker",1984,"Wiblingen","CDU"
"Arzt",1969,"Oststadt","CDU"
"Wirtschaftsjuristin",1981,"Oststadt","CDU"
"Augenarzt",1944,"Wiblingen","CDU"
"Wirtschaftsingenieur",1991,"Oststadt","CDU"
"Cloud Software Engineer",1999,"Mitte","CDU"
"Politologin",1983,"Weststadt","CDU"
"IT-Projektmanager",1978,"Söflingen","CDU"
"Regierungsrätin",1986,"Eselsberg","CDU"
"Kriminaloberkomissar i.R.",1953,"Oststadt","CDU"
"Angestellter",1972,"Grimmelfingen","CDU"
"Geschäftsführerin",1966,"Weststadt","CDU"
