"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Liste"
"Oberbürgermeister",1976,NA,"OB"
"Geschäftsführende Vorstandsvorsitzende",1992,"Mitte","GRÜNE"
"Hochschulprofessor a.D.",1950,"Mitte","GRÜNE"
"Studentin",2000,"Oststadt","GRÜNE"
"Kulturmanagerin",1978,"Jungingen","GRÜNE"
"Architektin",1960,"Söflingen","GRÜNE"
"Ernährungsmedizinische Beraterin",1956,"Weststadt","GRÜNE"
"Personal- und Organisationsentwicklerin",1990,NA,"GRÜNE"
"Pfarrer",1959,"Weststadt","GRÜNE"
"Rechtsanwalt",1966,"Söflingen","CDU"
"Dipl.-Informatikerin",1964,"Böfingen","CDU"
"Landwirtschaftsmeister",1958,"Gögglingen","CDU"
"Augenarzt",1944,"Wiblingen","CDU"
"Schulleiterin i.R.",1953,"Weststadt","CDU"
"Unternehmer",1980,"Lehr","CDU"
"Generalarzt a.D.",1958,"Lehr","CDU"
"Landtagsabgeordneter",1960,"Mitte","SPD"
"Fraktionsgeschäftsführerin",1949,"Eselsberg","SPD"
"Arzt",1963,"Söflingen","SPD"
"Schulleiterin",1967,"Söflingen","SPD"
"Sozialwissenschaftlerin",1991,"Lehr","SPD"
"Informatiker",1966,"Söflingen","SPD"
"Mechanikermeister",1959,"Böfingen","FWG"
"Obst- und Gemüsehändler",1997,"Mitte","FWG"
"Polizeibeamter",1961,"Weststadt","UWS"
"techn. Oberlehrer i.R.",1948,"Söflingen","UWS"
"Försterin",1992,"Ermingen","UWS"
"Kulturmanager",1954,"Söflingen","FDP"
"Kommunikationsdesignerin",1980,"Weststadt","FDP"
"selbst. Kaufmann",1961,"Einsingen","WWG"
"Augenoptikermeister",1953,"Wiblingen","WWG"
"Kinderärztin i.R.",1951,"Lehr","UVL"
"Bankkaufmann",1972,"Jungingen","UVL"
"Ärztin",1955,"Eselsberg","UfA"
"Sozial-und Kulturmanagerin",1958,"Weststadt","DIE LINKE"
"Kulturmanager",1998,"Söflingen","BLO"
"Persönlicher Referent",1969,"Söflingen","AfD"
"Steuerberater",1990,"Lehr","AfD"
"Maschinenbautechniker z.Zt. in Sabbatjahr",1985,"Weststadt","Tierschutzpartei"
"Einzelhändlerin",1977,"Söflingen","KlimalisteBW"
"Schülerin",2008,"Jungingen","JUL"
