"","Lfd...Nr.","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"1",101,"Geschäftsführende Vorstandsvorsitzende",1992,"Mitte","GRÜNE"
"2",102,"Hochschulprofessor a.D.",1950,"Mitte","GRÜNE"
"3",103,"Studentin",2000,"Oststadt","GRÜNE"
"4",104,"Kulturmanagerin",1978,"Jungingen","GRÜNE"
"5",105,"Ernährungsmedizinische Beraterin",1956,"Weststadt","GRÜNE"
"6",106,"Personal- und Organisationsentwicklerin",1990,"","GRÜNE"
"7",107,"Architektin",1960,"Söflingen","GRÜNE"
"8",108,"Pfarrer",1959,"Weststadt","GRÜNE"
"9",109,"Erzieherin i.R.",1956,"Oststadt","GRÜNE"
"10",110,"Hochschulkanzler",1982,"Lehr","GRÜNE"
"11",111,"Schülerin",2006,"Eselsberg","GRÜNE"
"12",112,"Nanotechnologe",1988,"Weststadt","GRÜNE"
"13",113,"selbst. Eventmanagerin",1976,"Böfingen","GRÜNE"
"14",114,"Angestellter",2005,"Söflingen","GRÜNE"
"15",115,"Dozentin",1953,"Böfingen","GRÜNE"
"16",116,"Gewerkschaftssekretär",1972,"Weststadt","GRÜNE"
"17",117,"Psychologin",1985,"Oststadt","GRÜNE"
"18",118,"Psychotherapeut und Elektroniker",1958,"Söflingen","GRÜNE"
"19",119,"Moderatorin",1984,"Mitte","GRÜNE"
"20",120,"Musiker",1957,"Oststadt","GRÜNE"
"21",121,"Dipl.-Informatikerin",1961,"Eselsberg","GRÜNE"
"22",122,"Student",2003,"Weststadt","GRÜNE"
"23",123,"Chemikerin",1974,"Lehr","GRÜNE"
"24",124,"Freiwilligendienstleistender",2004,"Böfingen","GRÜNE"
"25",125,"selbst. Friseurmeisterin",1998,"Mitte","GRÜNE"
"26",126,"Pfarrer",1976,"Wiblingen","GRÜNE"
"27",127,"Schülerin",2006,"Eselsberg","GRÜNE"
"28",128,"Neurowissenschaftler",1962,"Eselsberg","GRÜNE"
"29",129,"Lehrerin",1967,"Wiblingen","GRÜNE"
"30",130,"Beraterin Sustainable Finance",1999,"Weststadt","GRÜNE"
"31",131,"selbst. Webentwicklerin",1983,"Eselsberg","GRÜNE"
"32",132,"Dipl.-Geologe",1953,"Weststadt","GRÜNE"
"33",133,"Psychologische Psychotherapeutin",1991,"Oststadt","GRÜNE"
"34",134,"Fraktionsgeschäftsführer",1991,"Mitte","GRÜNE"
"35",135,"Ärztin",1978,"Wiblingen","GRÜNE"
"36",136,"Geschäftsführer",1963,"Weststadt","GRÜNE"
"37",137,"Kulturwissenschaftlerin (MA)",1960,"Söflingen","GRÜNE"
